Date,Open,High,Low,Close,Volume
2023-05-30,31196.24,31374.83,31064.19,31328.16,71800000
2023-05-31,31057.09,31142.78,30785.98,30887.88,184600000
2023-06-01,30886.01,31185.05,30853.44,31148.01,95100000
2023-06-02,31300.72,31555.54,31257.01,31524.22,90700000
2023-06-05,31864.12,32217.43,31798.72,32217.43,98800000
2023-06-06,31988.37,32534.47,31933.87,32506.78,82500000
2023-06-07,32618.78,32708.53,31913.74,31913.74,111900000
2023-06-08,31877.79,32035.95,31420.45,31641.27,86000000
2023-06-09,31927.38,32304.04,31898.75,32265.17,101500000
2023-06-12,32412.12,32517.68,32280.54,32434.00,68700000
2023-06-13,32668.95,33127.36,32638.21,33018.65,89500000
2023-06-14,33331.47,33665.52,33203.95,33502.42,111600000
2023-06-15,33493.69,33767.13,33386.01,33485.49,105800000
2023-06-16,33399.15,33772.76,33186.93,33706.08,132000000
2023-06-19,33768.69,33772.89,33231.56,33370.42,82900000
2023-06-20,33269.57,33474.74,33089.02,33388.91,82400000
2023-06-21,33200.63,33657.87,33154.68,33575.14,82000000
2023-06-22,33438.01,33641.46,33232.19,33264.88,94700000
2023-06-23,33458.35,33533.47,32575.56,32781.54,103600000
2023-06-26,32647.08,32884.73,32392.72,32698.81,74100000
2023-06-27,32629.96,32689.10,32306.99,32538.33,79600000
2023-06-28,32807.84,33193.99,32642.87,33193.99,91100000
2023-06-29,33306.84,33527.98,33185.20,33234.14,117900000
2023-06-30,33068.36,33232.89,32918.77,33189.04,111300000
2023-07-03,33517.60,33762.81,33510.55,33753.33,95400000
2023-07-04,33512.26,33576.45,33338.78,33422.52,99400000
2023-07-05,33165.06,33389.22,33041.14,33338.70,95100000
2023-07-06,33058.40,33079.45,32637.72,32773.02,100600000
2023-07-07,32450.64,32730.25,32327.90,32388.42,105100000
2023-07-10,32393.46,32558.98,32065.63,32189.73,101200000
2023-07-11,32434.67,32468.70,32084.42,32203.57,87200000
2023-07-12,32280.05,32312.03,31791.71,31943.93,88400000
2023-07-13,32106.05,32484.40,31952.98,32419.33,77800000
2023-07-14,32587.90,32780.63,32225.37,32391.26,90300000
2023-07-18,32457.18,32714.59,32338.30,32493.89,81100000
2023-07-19,32812.36,32896.03,32671.03,32896.03,81900000
2023-07-20,32803.35,32861.02,32462.86,32490.52,75600000
2023-07-21,32336.86,32462.44,32080.95,32304.25,79400000
2023-07-24,32648.14,32793.77,32554.46,32700.94,83500000
2023-07-25,32705.39,32715.56,32509.94,32682.51,101000000
2023-07-26,32704.96,32724.25,32488.52,32668.34,85200000
2023-07-27,32523.69,32938.59,32503.69,32891.16,90900000
2023-07-28,32444.42,32846.97,32037.55,32759.23,170500000
2023-07-31,33128.83,33402.08,33025.93,33172.22,134300000
2023-08-01,33292.31,33488.77,33203.88,33476.58,110800000
2023-08-02,33123.12,33158.58,32628.29,32707.69,124200000
2023-08-03,32375.85,32467.06,32142.25,32159.28,120300000
2023-08-04,32019.06,32294.70,31934.35,32192.75,106600000
2023-08-07,31921.28,32306.87,31830.23,32254.56,94100000
2023-08-08,32430.61,32539.88,32238.59,32377.29,91800000
2023-08-09,32346.32,32407.85,32175.64,32204.33,104500000
2023-08-10,32015.96,32504.85,32015.96,32473.65,108000000
2023-08-14,32456.72,32613.99,32031.54,32059.91,95600000
2023-08-15,32372.53,32403.93,32217.52,32238.89,75100000
2023-08-16,31965.58,31997.28,31766.82,31766.82,84800000
2023-08-17,31621.98,31704.08,31309.68,31626.00,87700000
2023-08-18,31321.26,31644.89,31275.25,31450.76,74800000
2023-08-21,31552.85,31758.70,31409.86,31565.64,69500000
2023-08-22,31792.60,31906.10,31693.76,31856.71,70200000
2023-08-23,31717.91,32039.60,31717.91,32010.26,65100000
2023-08-24,32130.52,32297.91,32063.14,32287.21,73400000
2023-08-25,31840.91,31885.53,31572.06,31624.28,65700000
2023-08-28,31915.68,32205.48,31881.93,32169.99,69900000
2023-08-29,32280.57,32389.12,32186.57,32226.97,77500000
2023-08-30,32432.95,32557.45,32300.56,32333.46,89100000
